trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
713,False,"{'a': 0.5, 'e': 0.873264}",20,0,-83.70808711879039,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
714,False,"{'a': 0.5, 'e': 0.87290775}",20,0,-60.47831823970929,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
715,False,"{'a': 0.5, 'e': 0.872551}",20,0,-60.91680037247255,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
716,False,"{'a': 0.5, 'e': 0.87219375}",25,7,-100.03835918343003,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 1}",1
717,False,"{'a': 0.5, 'e': 0.871836}",20,5,-25.80179855935242,"{0: 10, 1: 4, 2: 0, 3: 1, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.8714777499999999}",25,19,12.52677242187417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 0.871119}",20,0,-56.122248811607435,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
720,False,"{'a': 0.5, 'e': 0.8707597499999999}",25,0,-31.47654662430832,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
721,False,"{'a': 0.5, 'e': 0.8704000000000001}",25,0,-46.0384487884472,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
722,False,"{'a': 0.5, 'e': 0.87003975}",20,0,-41.75083489016274,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
723,False,"{'a': 0.5, 'e': 0.869679}",20,0,-13.197709531616482,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
724,False,"{'a': 0.5, 'e': 0.86931775}",35,0,-187.35212825081257,"{0: 19, 1: 4, 2: 9, 3: 1, 4: 2}",0
725,False,"{'a': 0.5, 'e': 0.8689560000000001}",20,0,-98.52915758899019,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
726,False,"{'a': 0.5, 'e': 0.86859375}",20,0,-110.71408662480948,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
727,False,"{'a': 0.5, 'e': 0.868231}",20,0,-90.49602400919984,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
728,False,"{'a': 0.5, 'e': 0.86786775}",25,0,-53.125500954528654,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
729,False,"{'a': 0.5, 'e': 0.867504}",20,13,-3.263377157627331,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.86713975}",25,0,-70.50459044625109,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
731,False,"{'a': 0.5, 'e': 0.8667750000000001}",25,18,-2.8429927865973177,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 0.86640975}",25,0,-146.32606737573664,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
733,False,"{'a': 0.5, 'e': 0.866044}",25,0,-109.63651674209937,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
734,False,"{'a': 0.5, 'e': 0.86567775}",20,0,-94.51804648259952,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
735,False,"{'a': 0.5, 'e': 0.8653109999999999}",25,0,-160.04774527740938,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
736,False,"{'a': 0.5, 'e': 0.86494375}",25,4,-118.9843197360424,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 1}",1
737,False,"{'a': 0.5, 'e': 0.864576}",30,0,-123.67338302676694,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
738,False,"{'a': 0.5, 'e': 0.86420775}",25,6,-15.270981219634026,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
